,id,network_id,degree,definition
19261,18576,32,172.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 4}"
19628,18739,32,173.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 2}"
19646,18837,32,174.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 3}"
19951,18942,32,175.0,"{""vector"": [0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 12}"
20019,19028,32,176.0,"{""vector"": [0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 6}"
20171,19115,32,177.0,"{""vector"": [0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 10}"
20330,19246,32,178.0,"{""vector"": [0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 8}"
20420,19413,32,179.0,"{""vector"": [0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 15}"
20422,19473,32,180.0,"{""vector"": [0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 11}"
20239,19552,32,181.0,"{""vector"": [0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 1}"
20730,19674,32,182.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 0}"
20734,19720,32,183.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 9}"
21132,19815,32,184.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0], ""active_index"": 5}"
20713,20011,32,185.0,"{""vector"": [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0], ""active_index"": 7}"
21245,20088,32,186.0,"{""vector"": [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0], ""active_index"": 13}"
21246,20128,32,187.0,"{""vector"": [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0], ""active_index"": 14}"
21476,20307,32,188.0,"{""vector"": [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 4}"
21561,20444,32,189.0,"{""vector"": [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 2}"
7821,20478,32,190.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 3}"
10600,20609,32,191.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 12}"
14495,20678,32,192.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 6}"
16937,20822,32,193.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 10}"
17550,20949,32,194.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 8}"
17697,21039,32,195.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 15}"
17679,21139,32,196.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 11}"
19385,21225,32,197.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 1}"
19803,21328,32,198.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 0}"
19804,21457,32,199.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 9}"
21616,21491,32,200.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 5}"
21588,21663,32,201.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 7}"
21885,21760,32,202.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 13}"
21971,21887,32,203.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 14}"
21978,21992,32,204.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 4}"
21951,22083,32,205.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 2}"
22356,22233,32,206.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 3}"
22359,22303,32,207.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 12}"
22377,22467,32,208.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 6}"
22475,22516,32,209.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 10}"
22625,22639,32,210.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 8}"
22682,22748,32,211.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 15}"
22684,22792,32,212.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 11}"
23111,22942,32,213.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 1}"
23113,23077,32,214.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 0}"
23011,23127,32,215.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 9}"
23393,23286,32,216.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 5}"
23117,23337,32,217.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 7}"
23471,23469,32,218.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 13}"
23615,23603,32,219.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0], ""active_index"": 14}"
23423,23608,32,220.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], ""active_index"": 4}"
23578,23767,32,221.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], ""active_index"": 2}"
23738,23865,32,222.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], ""active_index"": 3}"
23953,23941,32,223.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], ""active_index"": 12}"
24028,24068,32,224.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], ""active_index"": 6}"
24251,24231,32,225.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0], ""active_index"": 10}"
24350,24289,32,226.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""active_index"": 8}"
24345,24401,32,227.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""active_index"": 15}"
24339,24559,32,228.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""active_index"": 11}"
24667,24675,32,229.0,"{""vector"": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""active_index"": 1}"
24670,24696,32,230.0,"{""vector"": [0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""active_index"": 0}"
24791,24831,32,231.0,"{""vector"": [1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""active_index"": 9}"
24944,24930,32,232.0,"{""vector"": [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0], ""active_index"": 5}"
24992,25011,32,233.0,"{""vector"": [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0], ""active_index"": 7}"
24987,25122,32,234.0,"{""vector"": [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0], ""active_index"": 13}"
25367,25286,32,235.0,"{""vector"": [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 14}"
25368,25332,32,236.0,"{""vector"": [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 4}"
25485,25474,32,237.0,"{""vector"": [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 2}"
25560,25619,32,238.0,"{""vector"": [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 3}"
25794,25661,32,239.0,"{""vector"": [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 12}"
25833,25843,32,240.0,"{""vector"": [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 6}"
25936,25934,32,241.0,"{""vector"": [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 10}"
25714,25967,32,242.0,"{""vector"": [1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0], ""active_index"": 8}"
55,62,33,1.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 14}"
374,292,33,2.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1], ""active_index"": 5}"
516,460,33,3.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1], ""active_index"": 7}"
658,552,33,4.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1], ""active_index"": 12}"
650,610,33,5.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 6}"
1003,761,33,6.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 13}"
1000,889,33,7.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 15}"
1123,982,33,8.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 0}"
1369,1042,33,9.0,"{""vector"": [1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 2}"
1371,1163,33,10.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 10}"
1332,1227,33,11.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 11}"
1694,1256,33,12.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1], ""active_index"": 1}"
466,1516,33,13.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1], ""active_index"": 9}"
1658,1549,33,14.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 3}"
1998,1723,33,15.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 4}"
2176,1784,33,16.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 8}"
2017,1867,33,17.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 14}"
1803,1990,33,18.0,"{""vector"": [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 5}"
2421,2055,33,19.0,"{""vector"": [1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 7}"
2084,2173,33,20.0,"{""vector"": [1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 12}"
2724,2346,33,21.0,"{""vector"": [1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1], ""active_index"": 6}"
1288,2411,33,22.0,"{""vector"": [1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1], ""active_index"": 13}"
2506,2523,33,23.0,"{""vector"": [1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1], ""active_index"": 15}"
2429,2623,33,24.0,"{""vector"": [1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1], ""active_index"": 0}"
3218,2739,33,25.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1], ""active_index"": 2}"
3224,2851,33,26.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1], ""active_index"": 10}"
3428,2954,33,27.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1], ""active_index"": 11}"
3425,3015,33,28.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1], ""active_index"": 1}"
1862,3191,33,29.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1], ""active_index"": 9}"
3403,3243,33,30.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 3}"
3410,3371,33,31.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 4}"
3690,3473,33,32.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 8}"
4093,3633,33,33.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 14}"
4089,3717,33,34.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 5}"
4376,3860,33,35.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 7}"
4233,3955,33,36.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 12}"
3907,3986,33,37.0,"{""vector"": [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 6}"
4515,4145,33,38.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1], ""active_index"": 13}"
4591,4235,33,39.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 15}"
4596,4307,33,40.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 0}"
4902,4454,33,41.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 2}"
4838,4503,33,42.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 10}"
5197,4697,33,43.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 11}"
5494,4811,33,44.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 1}"
5460,4913,33,45.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 9}"
5827,4992,33,46.0,"{""vector"": [0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 3}"
6005,5055,33,47.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 4}"
6011,5155,33,48.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 8}"
3356,5262,33,49.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 14}"
5210,5360,33,50.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 5}"
5932,5530,33,51.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 7}"
5936,5662,33,52.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 12}"
5072,5785,33,53.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 6}"
5073,5817,33,54.0,"{""vector"": [0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 13}"
6727,5936,33,55.0,"{""vector"": [0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 15}"
6287,6117,33,56.0,"{""vector"": [0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 0}"
6592,6210,33,57.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 2}"
6755,6243,33,58.0,"{""vector"": [1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 10}"
7108,6385,33,59.0,"{""vector"": [1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 11}"
7263,6521,33,60.0,"{""vector"": [1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 1}"
7266,6552,33,61.0,"{""vector"": [1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 9}"
7388,6617,33,62.0,"{""vector"": [1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 3}"
1884,6784,33,63.0,"{""vector"": [1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 4}"
6125,6891,33,64.0,"{""vector"": [1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 8}"
7129,7078,33,65.0,"{""vector"": [1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 14}"
7522,7190,33,66.0,"{""vector"": [1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 5}"
6786,7248,33,67.0,"{""vector"": [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 7}"
7925,7318,33,68.0,"{""vector"": [1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 12}"
7931,7459,33,69.0,"{""vector"": [1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 6}"
8053,7554,33,70.0,"{""vector"": [1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 13}"
7945,7641,33,71.0,"{""vector"": [1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 15}"
8005,7724,33,72.0,"{""vector"": [1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0], ""active_index"": 0}"
8227,7845,33,73.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0], ""active_index"": 2}"
8918,7968,33,74.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0], ""active_index"": 10}"
9034,8119,33,75.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0], ""active_index"": 11}"
9044,8207,33,76.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 1}"
9427,8355,33,77.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 9}"
9432,8499,33,78.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 3}"
9196,8558,33,79.0,"{""vector"": [0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 4}"
9195,8616,33,80.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 8}"
9831,8736,33,81.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 14}"
9937,8843,33,82.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 5}"
9985,8928,33,83.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 7}"
6093,9108,33,84.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 12}"
7964,9120,33,85.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0], ""active_index"": 6}"
9207,9223,33,86.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0], ""active_index"": 13}"
9759,9405,33,87.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0], ""active_index"": 15}"
10052,9484,33,88.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0], ""active_index"": 0}"
10155,9625,33,89.0,"{""vector"": [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0], ""active_index"": 2}"
10162,9701,33,90.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0], ""active_index"": 10}"
10319,9774,33,91.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0], ""active_index"": 11}"
10496,9897,33,92.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 1}"
10501,10035,33,93.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 9}"
10794,10102,33,94.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 3}"
10909,10256,33,95.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 4}"
10888,10276,33,96.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 8}"
11340,10420,33,97.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 14}"
11336,10610,33,98.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0], ""active_index"": 5}"
11347,10693,33,99.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0], ""active_index"": 7}"
11631,10755,33,100.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0], ""active_index"": 12}"
11635,10872,33,101.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0], ""active_index"": 6}"
11736,10929,33,102.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0], ""active_index"": 13}"
12128,11117,33,103.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0], ""active_index"": 15}"
12129,11236,33,104.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0], ""active_index"": 0}"
12189,11352,33,105.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0], ""active_index"": 2}"
12492,11479,33,106.0,"{""vector"": [0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0], ""active_index"": 10}"
