,id,network_id,degree,definition
4851,4416,3,41.0,"{""vector"": [1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 0}"
5017,4572,3,42.0,"{""vector"": [0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 2}"
4850,4621,3,43.0,"{""vector"": [0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 4}"
5462,4806,3,44.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 14}"
5458,4826,3,45.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 10}"
5697,4996,3,46.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 3}"
5695,5084,3,47.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 8}"
6169,5200,3,48.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 7}"
4227,5290,3,49.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 1}"
4575,5402,3,50.0,"{""vector"": [0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 15}"
4576,5483,3,51.0,"{""vector"": [0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 6}"
5613,5653,3,52.0,"{""vector"": [0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1], ""active_index"": 11}"
5070,5729,3,53.0,"{""vector"": [0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 5}"
6360,5813,3,54.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 13}"
6563,5916,3,55.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 12}"
6566,6115,3,56.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 9}"
6858,6124,3,57.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 0}"
6987,6264,3,58.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 2}"
6990,6419,3,59.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 4}"
7148,6474,3,60.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1], ""active_index"": 14}"
7156,6530,3,61.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1], ""active_index"": 10}"
7421,6713,3,62.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1], ""active_index"": 3}"
7425,6780,3,63.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1], ""active_index"": 8}"
4753,6962,3,64.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], ""active_index"": 7}"
6007,7008,3,65.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], ""active_index"": 1}"
7157,7070,3,66.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], ""active_index"": 15}"
6963,7216,3,67.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 6}"
7987,7341,3,68.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 11}"
7989,7449,3,69.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 5}"
8294,7589,3,70.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 13}"
8344,7665,3,71.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 12}"
8345,7737,3,72.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 9}"
8438,7810,3,73.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 0}"
8808,8022,3,74.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 2}"
8840,8070,3,75.0,"{""vector"": [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 4}"
